BRANCH,COUNCIL
,AYAWASO2
2019,ASOKWA
3094,QODESH
4BN UADDARA BARRACKS,BANTAMA
A LANG,SANTA MARIA
AA ASHALAJA,OFAAKOR
AA KOFIASE,BANTAMA
AACHEN,EDMONTON
AAYALOLO,TESHIE
ABAASA,CAPE COAST
ABABIO CITY CENTER,ADENTA
ABANDZE,CAPE COAST
ABASRABA,WINNEBA
ABBEAM UNIVERSITY F24,GREATER LOVE
ABBEY TOWN,DAWHENYA
ABBEY ZONE 2,DAWHENYA
ABBEY ZONE 3,DAWHENYA
ABBOSEY OKAI,KORLE GONNO
ABEASE,AYAWASO2
ABEG GOD,KPANDO
ABEKA ABOTARE,ABEKA
ABEKA HARROW,AYAWASO
ABEKA MAIN,ABEKA
ABELEMKPE,ACHIMOTA
ABELENKPE,OYIBI
ABELENKPE CENTRE,MAKARIOS HQ
ABERDEEN,EDMONTON
ABERDEEN-WEST,QADOSH
ABESEWASE,BANTAMA
ABESIM,SUNYANI
ABETIFI,AYAWASO2
ABIA,DAWHENYA
ABIDJAN,OFAAKOR
ABLADJEI,ADENTA
ABLEKUMA  AYAWASO,AYAWASO
ABLEKUMA ABEASE,SOWUTUOM
ABLEKUMA AGAPE,ABEKA
ABLEKUMA CENTER,SANTA MARIA
ABLEKUMA CP MAIN,ABEKA
ABLEKUMA ICE WATER JUNCTION,SOWUTUOM
ABLEKUMA MAIN,AWOSHIE
ABOABO,KOFORIDUA
ABOADZE,SEKONDI
ABOFOUR,BANTAMA
ABOKOBI BOI,ADENTA
ABOKYIA,TARKWA
ABOMAN,ADENTA
ABONGO,KETE-KRACHI
ABONKO,CAPE COAST
ABONKOR CENTER,TEMA
ABOR,SOGAKOPE
ABOSEY OKAI CENTER,KORLE GONNO
ABOSO,TARKWA
ABOTANSO,KPANDO
ABREWANKOR JUNCTION,KETE-KRACHI
ABSA CENTER,HEALING JESUS CATHEDRAL
ABU DHABI,NAIROBI
ABUAKWA,BANTAMA
ABULANGA,BOLGATANGA
ABURA DUNKWA,CAPE COAST
ABURI,PEDUASE
ABURI MAIN,PEDUASE
ACC,TARKWA
ACCRA NEW TOWN,AYAWASO
ACCRA NEW TOWN CENTER,AYAWASO
ACCRA NEW TOWN DANSOMAN,AYAWASO
ACCRA NEW TOWN-ADABRAKA,AYAWASO
ACCRA NEW TOWN-MAAMOBI,AYAWASO
ACHADA MATO,FIRST LOVE
ACHIMFO,TARKWA
ACHIMOTA,ACHIMOTA
ACHIMOTA CENTRAL CENTER,ACHIMOTA
ACHIMOTA CENTRE,MAKARIOS HQ
ACHIMOTA MARKET,AYAWASO
ACTS CENTRE,LAGOS
AD ABOKOBI,ADENTA
AD ADENTA NEWSITE,ADENTA
AD AGBOGBA,ADENTA
AD ALHAJI,ADENTA
AD AMRAHIA,ADENTA
AD ASHIYIE,ADENTA
AD ASHONGMAN,ADENTA
AD DANFA,ADENTA
AD FULANI,ADENTA
AD KITASE,ADENTA
AD MADINA,ADENTA
AD NEW ADENTA,ADENTA
AD OLD ASHONGMAN,ADENTA
AD OTINIBI,ADENTA
AD OYIBI,ADENTA
AD PANTANG,ADENTA
AD WESTLANDS,ADENTA
ADA KASSEH,SOGAKOPE
ADABLAKOPE,SOGAKOPE
ADABOKROM,BIBIANI
ADABRAKA,QODESH
ADADE D10,GREATER LOVE
ADADE PENTECOST,NYANYANOR KAKRABA
ADAFIANU,SOGAKOPE
ADAKLU KODZOBI,HO
ADA-KOFORIDUA,KOFORIDUA
ADANSEMAN A15,GREATER LOVE
ADAWSO,KOFORIDUA
ADDIS ABABA,JOHANNESBURG
ADDO KWANTA,KOFORIDUA
ADDOGONO,HEALING JESUS CATHEDRAL
ADELAIDE,SYDNEY
ADENTA,ADENTA
ADENTA ESTATE,OYIBI
ADIDOME,SOGAKOPE
ADIEBEBA,ATONSU
ADIEMBRA BANTAMA CCL,BANTAMA
ADIEMBRA RAILS,TAKORADI
ADIEMBRA TAKORADI CCL,SEKONDI
ADINA,SOGAKOPE
ADJEI KOJO,TEMA COMMUNITY 22
ADJEI KOJO ANNEX,DAWHENYA
ADJEMASU,ASOKWA
ADJEN KOTOKU,AYAWASO
ADJIRINGANOR,MAKARIOS HQ
ADJIRINGANOR CENTRE,MAKARIOS HQ
ADJOA,TAKORADI
ADOM CHURCH,QODESH
ADOMANU,BANTAMA
ADOTEIMAN,OYIBI
ADPP,MAPUTO
ADUEMLI,TESHIE
ADUKRO,BANTAMA
ADUKROM,PEDUASE
ADUMANYA,OYIBI
ADUSAH CENTER,BEREKUSO
ADUSA-QUARTERS,AYAWASO
AFARIWA,TEMA COMMUNITY 22
AFIAMAN,AYAWASO
AFIENYA,TEMA
AFIENYA EAST,DAWHENYA
AFIENYA JERUSALEM,DAWHENYA
AFIENYA MATAHEKO,TEMA COMMUNITY 22
AFLAO MAIN,SOGAKOPE
AFOSU,AYAWASO2
AFRANGUA JUNCTION,CAPE COAST
AFRANGUA TOWN,CAPE COAST
AFRICA HALL CENTRE,AYEDUASE
AFRICA UNION CENTRE,AYEDUASE
AGAPE CENTER,COTONOU
AGAPE SOUTH AFRICA,ABEKA
AGATOSUNE CENTER,COTONOU
AGBEDRAFOR,SOGAKOPE
AGBEDRAFOR-TEGBI,SOGAKOPE
AGBOGBA,ADENTA
AGBOGBA VILLAGE,ADENTA
AGBOGBLOSHIE CENTER,KORLE GONNO
